"term","class","weight"
"raining","AFFECT_AVG","-0.120207876896"
"really good","AFFECT_AVG","-0.0437282448181"
"the most","AFFECT_AVG","-0.112770136616"
"i wanted","AFFECT_AVG","-0.150825091802"
"four","AFFECT_AVG","0.0221699663402"
"sleep","AFFECT_AVG","-0.188806068743"
"hanging","AFFECT_AVG","-0.0461277861542"
"hate","AFFECT_AVG","-0.699095669293"
"why ?","AFFECT_AVG","-0.143970876978"
"is getting","AFFECT_AVG","0.0321935173716"
"bike","AFFECT_AVG","-0.0611128364553"
"under","AFFECT_AVG","0.0610403381143"
"wake up","AFFECT_AVG","0.0714181785771"
"lord","AFFECT_AVG","0.146968269356"
"sorry","AFFECT_AVG","-0.218009510276"
"all the","AFFECT_AVG","-0.0219837023409"
"worth","AFFECT_AVG","-0.0139713037472"
"@","AFFECT_AVG","-0.172842048708"
"i wish","AFFECT_AVG","-0.0461576132277"
"gonna be","AFFECT_AVG","0.152622037788"
"is over","AFFECT_AVG","0.127224166047"
"every","AFFECT_AVG","0.0546590204925"
"to work","AFFECT_AVG","0.0736209989112"
"much better","AFFECT_AVG","0.335955025491"
"school","AFFECT_AVG","-0.282988037641"
"b-day wishes","AFFECT_AVG","0.0392444757924"
"pretty good","AFFECT_AVG","0.0104198948741"
"and paste","AFFECT_AVG","-0.0441123398894"
"wednesday","AFFECT_AVG","0.0998313565466"
"math","AFFECT_AVG","-0.0947921615401"
"heading","AFFECT_AVG","0.0647112543108"
"enjoy","AFFECT_AVG","0.0619985456503"
"tired","AFFECT_AVG","-0.267576765079"
"second","AFFECT_AVG","-0.0485532201123"
"street","AFFECT_AVG","-0.0384737700845"
"now i'm","AFFECT_AVG","-0.139556644058"
"needs a","AFFECT_AVG","-0.0338896540813"
"n","AFFECT_AVG","0.0234218950933"
"you can't","AFFECT_AVG","-0.0392323426251"
"even","AFFECT_AVG","0.0614219491717"
"christ","AFFECT_AVG","-0.0700488143182"
"my name","AFFECT_AVG","0.0377080890798"
"we got","AFFECT_AVG","-0.0900915288772"
"+","AFFECT_AVG","0.111033839844"
"fingers","AFFECT_AVG","-0.147751022554"
"lights","AFFECT_AVG","0.0973935352368"
"new","AFFECT_AVG","0.200435916804"
"ever","AFFECT_AVG","-0.0881050683093"
"told","AFFECT_AVG","-0.0357131118481"
"kicked","AFFECT_AVG","-0.0174417773602"
"join","AFFECT_AVG","0.150062944566"
"never","AFFECT_AVG","-0.0873004557722"
"here","AFFECT_AVG","-0.0425997334883"
"met","AFFECT_AVG","-0.0124701711635"
"100","AFFECT_AVG","0.0559785463399"
"aren't","AFFECT_AVG","-0.136035746102"
"kids","AFFECT_AVG","0.184990424192"
"daughter","AFFECT_AVG","0.00289680483038"
"good night","AFFECT_AVG","-0.226626197108"
"yes ,","AFFECT_AVG","0.0558966570429"
"leaves","AFFECT_AVG","-0.0705497895714"
"changed","AFFECT_AVG","-0.0783313874321"
"very happy","AFFECT_AVG","0.118541753127"
"i'd","AFFECT_AVG","-0.151971256304"
"ako","AFFECT_AVG","0.0224826250064"
"the weekend","AFFECT_AVG","-0.0247615447628"
"i'm","AFFECT_AVG","-0.0192974818624"
"fantastic","AFFECT_AVG","0.0738853119203"
"feelings","AFFECT_AVG","-0.033023369933"
"bro","AFFECT_AVG","0.0200047618016"
"now im","AFFECT_AVG","-0.114615117816"
"hoping","AFFECT_AVG","0.00171621537558"
"would","AFFECT_AVG","-0.0288362570005"
"hospital","AFFECT_AVG","-0.175024984464"
"had fun","AFFECT_AVG","-0.0582374632087"
"call","AFFECT_AVG","-0.180139502147"
"at work","AFFECT_AVG","0.11498754992"
"your status","AFFECT_AVG","0.0655300465473"
"type","AFFECT_AVG","-0.0225103536269"
"tell","AFFECT_AVG","-0.074630271052"
"thank everyone","AFFECT_AVG","0.00546614948495"
"holy","AFFECT_AVG","0.147017562646"
"relax","AFFECT_AVG","0.0814263167838"
"haha","AFFECT_AVG","0.216794943167"
"hurt","AFFECT_AVG","-0.193461320835"
"phone","AFFECT_AVG","-0.112316273852"
"warm","AFFECT_AVG","0.140574100128"
"90","AFFECT_AVG","-0.161966594157"
"hole","AFFECT_AVG","-0.0219080061135"
"hold","AFFECT_AVG","0.132071318895"
"you think","AFFECT_AVG","-0.188846644663"
"must","AFFECT_AVG","-0.0434200172957"
"me","AFFECT_AVG","-0.104224184924"
"te","AFFECT_AVG","0.00356995554524"
"word","AFFECT_AVG","-0.107007382894"
"room","AFFECT_AVG","-0.239343193285"
"mo","AFFECT_AVG","0.0213752003478"
"work","AFFECT_AVG","-0.169685499214"
"mi","AFFECT_AVG","0.162903083307"
"thank you","AFFECT_AVG","0.0982928856354"
"movies","AFFECT_AVG","0.0520254294892"
"first time","AFFECT_AVG","-0.0557607381854"
"ms","AFFECT_AVG","0.049347733927"
"mr","AFFECT_AVG","0.041447423189"
"my","AFFECT_AVG","-0.0180483114042"
"my new","AFFECT_AVG","0.116160832845"
"to stay","AFFECT_AVG","0.0560330637177"
"people that","AFFECT_AVG","-0.0514501457227"
"it's not","AFFECT_AVG","0.0787904205401"
"give","AFFECT_AVG","0.210992566013"
"the snow","AFFECT_AVG","-0.0273794287518"
"can be","AFFECT_AVG","0.133997298996"
"honey","AFFECT_AVG","-0.0324653741412"
"farmville","AFFECT_AVG","-0.0062588725989"
"want","AFFECT_AVG","-0.22351955939"
"i hope","AFFECT_AVG","0.111387409088"
"times","AFFECT_AVG","-0.00843536538793"
"end","AFFECT_AVG","-0.252979659147"
"turn","AFFECT_AVG","0.00442561919493"
"to keep","AFFECT_AVG","-0.117965413676"
"is having","AFFECT_AVG","-0.0892418276672"
"song","AFFECT_AVG","-0.0759026993521"
"going to","AFFECT_AVG","0.182347903459"
"happy birthday","AFFECT_AVG","-0.180218802204"
"how","AFFECT_AVG","-0.0895379763903"
"amazing","AFFECT_AVG","0.402864034856"
"trip to","AFFECT_AVG","-0.167966891823"
"answer","AFFECT_AVG","-0.0236706836185"
":( (","AFFECT_AVG","-0.108334094085"
"beach","AFFECT_AVG","0.143288577279"
"pizza","AFFECT_AVG","0.0253217821293"
"bday","AFFECT_AVG","0.0101293359126"
"after","AFFECT_AVG","0.0948824306922"
"wrong","AFFECT_AVG","-0.270068929736"
"lay","AFFECT_AVG","0.0214586588709"
"law","AFFECT_AVG","0.0450882790568"
"you can","AFFECT_AVG","-0.176362746278"
"i hate","AFFECT_AVG","-0.520282860522"
"third","AFFECT_AVG","-0.00939310075075"
"appreciate","AFFECT_AVG","-0.0461910177342"
"lost","AFFECT_AVG","-0.148438777047"
"the middle","AFFECT_AVG","0.000739845731296"
"green","AFFECT_AVG","0.132108578327"
"keeps","AFFECT_AVG","-0.0398038328907"
"worst","AFFECT_AVG","-0.529065209584"
"order","AFFECT_AVG","-0.19511550427"
"wind","AFFECT_AVG","0.0778792526314"
"wine","AFFECT_AVG","0.191864507027"
"office","AFFECT_AVG","0.0696486393203"
"over","AFFECT_AVG","0.0818731699578"
"fall","AFFECT_AVG","0.021319745279"
"guess i","AFFECT_AVG","0.0181494471374"
"it's time","AFFECT_AVG","-0.0317798055348"
"are not","AFFECT_AVG","0.0758324567407"
"so happy","AFFECT_AVG","0.269939679081"
"before","AFFECT_AVG","-0.0743721562406"
"the wind","AFFECT_AVG","0.14597894993"
"take it","AFFECT_AVG","-0.072467356917"
"fit","AFFECT_AVG","0.0959519301439"
"somewhere","AFFECT_AVG","-0.0184783138002"
"my mind","AFFECT_AVG","-0.201983950467"
"fix","AFFECT_AVG","-0.14174489607"
",","AFFECT_AVG","0.0202050035281"
"writing","AFFECT_AVG","-0.0571876894093"
"better","AFFECT_AVG","0.209918360375"
"most of","AFFECT_AVG","-0.059971175051"
"weeks","AFFECT_AVG","-0.00815128238557"
"then","AFFECT_AVG","0.0265968572059"
"them","AFFECT_AVG","0.0292119904166"
"a smile","AFFECT_AVG","-0.033655721006"
"to do","AFFECT_AVG","-0.0993689148655"
"workout","AFFECT_AVG","0.16388784684"
"safe","AFFECT_AVG","0.0441315337477"
"we'll","AFFECT_AVG","0.152873055773"
"as your","AFFECT_AVG","-0.0225035801136"
"break","AFFECT_AVG","-0.0669157744153"
"band","AFFECT_AVG","0.145227363002"
"the lord","AFFECT_AVG","0.113682986625"
"is always","AFFECT_AVG","-0.0286225128569"
"they","AFFECT_AVG","-0.0160118562981"
"one","AFFECT_AVG","-0.054787180124"
"bank","AFFECT_AVG","-0.00745514712414"
"is finally","AFFECT_AVG","-0.00795134658063"
"i've been","AFFECT_AVG","0.143458541704"
"l","AFFECT_AVG","-0.179639568094"
